Name,Chemical Name (IAPUC),Chemical Formula,MW,SMILES
gan-1-76-p3,"3-(4-((2-((3r,5r,7r)-adamantan-1-yl)-2-hydroxyethyl)amino)butyl)-6-(4-(bis(2-((3R,5R,7R)-adamantan-1-yl)-2-hydroxyethyl)amino)butyl)piperazine-2,5-dione", C48H78N4O5,791.175,OC(CNCCCCC1NC(C(CCCCN(CC(O)[C@]23C[C@@H]4C[C@@H](C[C@@H](C4)C3)C2)CC(O)[C@]56C[C@@H]7C[C@@H](C[C@@H](C7)C6)C5)NC1=O)=O)[C@]89C[C@@H]%10C[C@@H](C[C@@H](C%10)C9)C8
gan-1-76-p1,"3,6-bis(4-(bis(2-((3R,5R,7R)-adamantan-1-yl)-2-hydroxyethyl)amino)butyl)piperazine-2,5-dione",C60H96N4O6,969.45,OC(CN(CC(O)C12C[C@@H]3C[C@@H](C[C@@H](C3)C2)C1)CCCCC4NC(C(CCCCN(CC(O)C56C[C@@H]7C[C@@H](C[C@@H](C7)C6)C5)CC(O)C89C[C@@H]%10C[C@@H](C[C@@H](C%10)C9)C8)NC4=O)=O)C%11%12C[C@@H]%13C[C@@H](C[C@@H](C%13)C%12)C%11
gan-1-82,"1-((((1R,4aS,10aR)-7-isopropyl-1,4a-dimethyl-1,2,3,4,4a,9,10,10a-octahydrophenanthren-1-yl)methyl)amino)dodecan-2-ol",C32H55NO, 469.7980,C[C@@]12C3=CC=C(C(C)C)C=C3CC[C@@]1([H])[C@](C)(CNCC(O)CCCCCCCCCC)CCC2
gan-1-83,"1,1',1'',1'''-((cyclohexane-1,1-diylbis(methylene))bis(azanetriyl))tetrakis(dodecan-2-ol)",C56H114N2O4,879.538,OC(CCCCCCCCCC)CN(CC(O)CCCCCCCCCC)CC1(CN(CC(CCCCCCCCCC)O)CC(O)CCCCCCCCCC)CCCCC1
gan-1-85,"1,1',1''-(1,4,7-triazonane-1,4,7-triyl)tris(dodecan-2-ol)",C42H87N3O3,682.176,OC(CCCCCCCCCC)CN1CCN(CC(CCCCCCCCCC)O)CCN(CC(CCCCCCCCCC)O)CC1
gan-1-86,"1,1',1'',1'''-(1,4,8,11-tetraazacyclotetradecane-1,4,8,11-tetrayl)tetrakis(dodecan-2-ol)",C58H120N4O4,937.622,OC(CN1CCCN(CC(CCCCCCCCCC)O)CCN(CC(CCCCCCCCCC)O)CCCN(CC(CCCCCCCCCC)O)CC1)CCCCCCCCCC
gan-1-87,"1,1'-((4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)benzyl)azanediyl)bis(dodecan-2-ol)",C37H68BNO4,601.764,CC(OB1C2=CC=C(CN(CC(CCCCCCCCCC)O)CC(CCCCCCCCCC)O)C=C2)(C(C)(C)O1)C
gan-1-88,"1,1',1'',1'''-(1,4,7,10-tetraazacyclododecane-1,4,7,10-tetrayl)tetrakis(dodecan-2-ol)",C56H116N4O4,909.568,OC(CCCCCCCCCC)CN1CCN(CC(CCCCCCCCCC)O)CCN(CC(CCCCCCCCCC)O)CCN(CC(CCCCCCCCCC)O)CC1
gan-1-107,"2-((((3-(4-methylpiperazin-1-yl)propoxy)carbonyl)oxy)methyl)propane-1,3-diyl (9Z,9'Z,12Z,12'Z)-bis(octadeca-9,12-dienoate)",C49H86N2O7,815.234,CCCCC/C=C\C/C=C\CCCCCCCC(OCC(COC(OCCCN1CCN(C)CC1)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)=O
gan-1-106,"2-((((3-(pyrrolidin-1-yl)propoxy)carbonyl)oxy)methyl)propane-1,3-diyl (9Z,9'Z,12Z,12'Z)-bis(octadeca-9,12-dienoate)",C48H83NO7,786.192,CCCCC/C=C\C/C=C\CCCCCCCC(OCC(COC(OCCCN1CCCC1)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)=O
